target,cohort,lane,scale,split_view,seed,model,rows,baseline_r2,baseline_mae,target_permutation_r2_mean,r2_minus_null
shear_modulus,within_source_common,causal_common,full,chemical_system_group,23,random_forest,13021,-3.1692786535185835,21586861573.304047,-1.10090387997939,-2.068374773539193
shear_modulus,within_source_common,causal_common,full,chemical_system_group,23,extra_trees,13021,-1.7119093598298625,18568839190.683426,-0.5484987964065877,-1.1634105634232743
shear_modulus,within_source_common,causal_common,full,chemical_system_group,23,hist_gradient_boosting,13021,-0.0275555555273867,12724308802.303598,-0.0152777798611646,-0.0122777756662221
shear_modulus,within_source_common,causal_common,full,chemical_system_group,37,ridge,13021,-0.13050544451718,11204509371.482157,-0.2096725987061206,0.0791671541889405
shear_modulus,within_source_common,causal_common,full,chemical_system_group,37,random_forest,13021,-0.2486244402993289,1743365190.3822243,-34.98237999795878,34.73375555765945
shear_modulus,within_source_common,causal_common,full,chemical_system_group,37,extra_trees,13021,-2.752241724139016,4817778152.136628,-9.856761707820896,7.10451998368188
shear_modulus,within_source_common,causal_common,full,chemical_system_group,37,hist_gradient_boosting,13021,-0.6093157096714128,5883742302.858187,-0.4923071134725537,-0.1170085961988591
shear_modulus,maximum_coverage,causal_common,full,row_random,11,ridge,13028,-0.0037956908503089,16078562383.995678,-0.0055561244344161,0.0017604335841071
shear_modulus,maximum_coverage,causal_common,full,row_random,11,random_forest,13028,-0.0325417974915644,7438549480.756762,-0.7198405007079011,0.6872987032163366
shear_modulus,maximum_coverage,causal_common,full,row_random,11,extra_trees,13028,-0.1139493744831872,10510633529.960516,-0.3283615053064944,0.2144121308233072
shear_modulus,maximum_coverage,causal_common,full,row_random,11,hist_gradient_boosting,13028,-0.0148751671163454,11195431785.468668,-0.0155878208363197,0.0007126537199743
shear_modulus,maximum_coverage,causal_common,full,row_random,23,ridge,13028,-206859632.703829,10735292155.789192,-469307253.8292618,262447621.12543285
shear_modulus,maximum_coverage,causal_common,full,row_random,23,random_forest,13028,-9147210095.330809,4417118660.331207,-55929200093.85023,46781989998.519424
shear_modulus,maximum_coverage,causal_common,full,row_random,23,extra_trees,13028,-7774121212.086629,7404347712.037636,-20605095015.46701,12830973803.380386
shear_modulus,maximum_coverage,causal_common,full,row_random,23,hist_gradient_boosting,13028,-2534701350.324507,7333641862.625939,-1056529679.6374562,-1478171670.687051
shear_modulus,maximum_coverage,causal_common,full,row_random,37,ridge,13028,-0.9902012854549262,11045163793.268017,-1.8946791381552384,0.9044778527003124
shear_modulus,maximum_coverage,causal_common,full,row_random,37,random_forest,13028,-0.7586783538434079,918768155.9393111,-249.7467858752612,248.9881075214178
shear_modulus,maximum_coverage,causal_common,full,row_random,37,extra_trees,13028,-95.14718036551471,10283653758.918833,-133.2566513109786,38.1094709454639
shear_modulus,maximum_coverage,causal_common,full,row_random,37,hist_gradient_boosting,13028,-10.532244254759338,7154244516.5858345,-4.688739265442036,-5.843504989317301
shear_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,ridge,13028,-0.0004057734944353,23622521296.607384,-0.000468816440814,6.304294637865895e-05
shear_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,random_forest,13028,-0.0120935237371497,26726861068.564854,-0.0045727097288548,-0.0075208140082949
shear_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,extra_trees,13028,-0.0008883949994897,22724373368.58498,-0.0019068775843571,0.0010184825848673
shear_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,hist_gradient_boosting,13028,-0.0005078556346418,23004234485.328327,-0.0004741605424526,-3.3695092189178744e-05
